代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399362,民企100,8325.23,-34.479,-0.412,8359.709,8472.736,8488.724,8311.332,1435272173,87903851151
sz399363,国证算力,8600.112,38.3,0.447,8561.812,8820.01,8858.457,8549.546,1004532149,77866079260
sz399364,消费100,10465.871,-0.033,-0.0,10465.904,10618.154,10634.437,10438.526,1890381570,101633674470
sz399365,国证粮食,13469.479,-19.097,-0.142,13488.576,13497.823,13579.66,13422.827,1129469780,15835067729
sz399366,能源金属,2693.262,47.986,1.814,2645.276,2651.51,2746.527,2643.344,1981141445,58249738782
sz399367,1000地产,2736.986,15.199,0.558,2721.787,2725.608,2739.451,2690.031,555249184,4374568743
sz399368,国证军工,7500.718,-60.029,-0.794,7560.747,7549.215,7549.929,7486.862,509707525,14338817328
sz399369,国证责任,1553.151,3.897,0.252,1549.254,1554.16,1557.001,1549.395,1616480640,38939478472
sz399370,国证成长,4913.934,-14.33,-0.291,4928.264,4970.563,4975.233,4903.532,6254985063,213440137509
sz399371,国证价值,7227.445,46.285,0.645,7181.16,7193.185,7229.957,7183.744,8603363139,93144632539
sz399372,大盘成长,5167.335,-23.101,-0.445,5190.436,5241.166,5247.062,5156.297,1835055623,99019219218
sz399373,大盘价值,8707.032,80.542,0.934,8626.49,8632.768,8707.089,8610.781,3911527158,38838609340
sz399374,中盘成长,4354.144,-3.694,-0.085,4357.838,4382.412,4389.792,4345.143,1704730375,48711408773
sz399375,中盘价值,5754.132,12.992,0.226,5741.14,5759.676,5789.612,5737.631,2053923191,23207006111
sz399376,小盘成长,6066.565,2.48,0.041,6064.085,6110.113,6133.112,6052.984,2715199065,65709509517
sz399377,小盘价值,7715.736,5.174,0.067,7710.562,7736.397,7762.564,7692.272,2637912790,31099017088
sz399378,ESG 300,2884.581,1.837,0.064,2882.744,2902.826,2904.313,2877.0,8668937707,199701649488
sz399379,国证基金,9141.557,-0.946,-0.01,9142.503,9195.014,9205.05,9123.872,93664586998,247530640699
sz399380,国证ETF,1810.049,-0.053,-0.003,1810.102,1820.945,1823.016,1806.405,93173083192,246701560470
sz399381,1000能源,3151.735,-2.319,-0.074,3154.054,3134.734,3153.734,3128.326,673016059,5451742565
sz399382,1000材料,3543.353,11.176,0.316,3532.177,3537.683,3588.712,3528.465,4542813766,90895206232
sz399383,1000工业,2950.339,-19.119,-0.644,2969.458,2984.255,2984.403,2944.989,5265039802,107020681549
sz399384,1000可选,4059.541,-7.832,-0.193,4067.373,4075.104,4077.724,4050.821,1616317085,26961410092
sz399385,1000消费,9838.507,-32.073,-0.325,9870.58,9871.84,9871.84,9816.749,530644793,9518023971
sz399386,1000医药,5953.164,-13.892,-0.233,5967.056,5990.074,6011.882,5943.908,485567653,13918755779
sz399387,1000金融,5706.341,63.757,1.13,5642.584,5675.138,5706.341,5656.115,5864469580,52245144039
sz399388,1000信息,6139.332,-26.783,-0.434,6166.115,6265.667,6275.773,6121.132,2805267269,107216436230
sz399389,国证通信,7032.229,42.669,0.61,6989.56,7182.499,7230.55,6983.987,1133600412,53153421344
sz399390,1000公用,2720.952,7.449,0.275,2713.503,2715.411,2724.417,2713.262,1037004686,6933179694
sz399391,投资时钟,3402.756,6.291,0.185,3396.465,3396.955,3409.061,3391.491,2757645733,36714781234
sz399392,国证新兴,2948.645,-6.285,-0.213,2954.93,2974.574,2976.579,2942.945,3087982216,137066330378
sz399393,国证地产,3328.447,13.344,0.403,3315.103,3317.941,3332.989,3271.361,2220098979,11135940403
sz399394,国证医药,8868.798,-21.003,-0.236,8889.801,8924.234,8955.601,8855.55,435340636,13239322516
sz399395,国证有色,8862.124,38.676,0.438,8823.448,8827.184,8986.659,8823.572,2261214933,52324709656
sz399396,国证食品,18724.684,-47.679,-0.254,18772.363,18773.432,18773.432,18678.201,215758184,7519272931
sz399397,国证文化,2257.979,-10.872,-0.479,2268.851,2277.841,2279.021,2252.247,1481430633,17948276948
sz399398,绩效指数,10752.737,-37.608,-0.349,10790.345,10827.192,10827.192,10736.493,625294958,23979265387
sz399399,中经GDP,8190.133,-10.346,-0.126,8200.479,8236.403,8237.298,8170.148,6743819531,129939465893
sz399400,大中盘,4134.296,4.569,0.111,4129.727,4158.755,4161.019,4124.178,14521084506,316013534270
sz399401,中小盘,4624.228,-8.394,-0.181,4632.622,4666.108,4669.433,4615.006,15123349633,267308342050
sz399402,周期100,3726.052,-12.026,-0.322,3738.078,3764.262,3766.483,3714.763,4036464550,98180144732
sz399403,防御100,8670.486,9.349,0.108,8661.137,8751.314,8771.578,8645.714,1175140711,50197582974
sz399405,大盘高贝,3085.681,-1.69,-0.055,3087.371,3136.74,3142.577,3077.763,1367923967,92516131923
sz399406,中盘低波,13668.204,22.346,0.164,13645.858,13679.105,13729.405,13632.405,1973845777,19383832985
sz399407,中盘高贝,3007.371,-12.527,-0.415,3019.898,3057.802,3061.125,3002.619,1689504078,69818964743
sz399408,小盘低波,15523.502,-11.805,-0.076,15535.307,15557.726,15615.077,15484.503,2829678475,21808862826
sz399409,小盘高贝,6154.987,-27.716,-0.448,6182.703,6238.594,6245.565,6146.021,2906608924,61074889785
sz399410,苏州率先,2638.142,12.988,0.495,2625.154,2672.691,2684.525,2627.205,428328857,18199758703
sz399411,红利100,3591.482,8.901,0.248,3582.581,3583.347,3595.467,3577.952,3693210731,27488204874
sz399412,国证新能,3024.998,-28.716,-0.94,3053.714,3070.837,3078.433,3019.668,1663143089,64865547241
sz399413,国证转债,181.513,-0.177,-0.097,181.69,182.053,182.434,181.151,174313281,34039554049
sz399415,I100,6806.603,-18.543,-0.272,6825.146,6870.501,6889.34,6792.011,1450906944,48831719518
sz399416,I300,4652.664,-23.576,-0.504,4676.24,4697.324,4706.291,4635.436,2025497151,24262464792
sz399417,新能源车,3905.797,-30.22,-0.768,3936.017,3954.038,3982.969,3895.324,1895625167,77370121133
sz399418,数据要素,4197.01,-25.422,-0.602,4222.432,4254.627,4259.615,4182.603,913686110,20597770563
sz399419,国证高铁,2095.939,-9.284,-0.441,2105.223,2110.829,2113.061,2091.0,625604837,6570412988
sz399420,国证保证,1547.339,10.471,0.681,1536.868,1560.726,1562.345,1541.401,1401624107,20924956293
sz399422,中关村A,3451.312,-15.471,-0.446,3466.783,3486.831,3489.192,3441.997,5178341081,77060652754
sz399423,中关村50,2895.949,-24.91,-0.853,2920.859,2948.34,2951.906,2887.127,799820544,19232471919
sz399428,国证定增,4104.076,-3.974,-0.097,4108.05,4136.553,4146.694,4091.654,1621001683,27549663993
sz399429,新丝路,1625.433,3.867,0.238,1621.566,1628.995,1640.102,1621.238,2081144800,31338443962
sz399431,国证银行,8356.365,141.964,1.728,8214.401,8199.042,8356.365,8178.596,3294746949,23110148368
sz399432,智能汽车,6598.839,-36.735,-0.554,6635.574,6667.458,6713.722,6581.906,964116070,51360628934
sz399433,国证交运,1731.205,2.357,0.136,1728.848,1730.201,1737.325,1726.433,1102777546,7297383315
sz399434,数字传媒,2208.686,-15.522,-0.698,2224.208,2235.271,2237.273,2201.024,1604077017,17124283144
sz399435,国证农牧,4045.973,-27.24,-0.669,4073.213,4075.674,4075.674,4034.442,1241217548,8280780357
sz399436,绿色煤炭,4183.82,-33.726,-0.8,4217.546,4205.689,4219.988,4169.817,691454956,3526246010
sz399437,证券龙头,6874.683,49.827,0.73,6824.856,6963.584,6972.112,6851.568,1387863740,19087912967
sz399438,绿色电力,2095.374,2.93,0.14,2092.444,2094.511,2101.105,2091.542,784353236,7088349474
sz399439,国证油气,1907.873,0.137,0.007,1907.736,1894.624,1908.406,1893.209,1394855904,10528067782
sz399440,国证钢铁,1485.092,6.254,0.423,1478.838,1479.907,1499.419,1478.643,907346785,7705533482
sz399441,生物医药,2263.018,-0.513,-0.023,2263.531,2276.951,2287.685,2258.814,193362968,6062928435
sz399481,企债指数,127.842,-0.003,-0.002,127.845,127.845,127.845,127.842,1801000,180871715
sz399550,央视50,8038.755,36.955,0.462,8001.8,8022.091,8045.07,8007.982,1846897830,25633780880
sz399551,央视创新,9740.711,-33.77,-0.345,9774.481,9883.521,9901.82,9724.49,844964584,22314739050
sz399552,央视成长,8275.238,38.313,0.465,8236.925,8250.226,8275.238,8238.07,990272060,18030256466
sz399553,央视回报,7622.972,21.172,0.279,7601.8,7629.809,7655.837,7601.967,790264931,26922029980
sz399554,央视治理,7657.886,47.324,0.622,7610.562,7635.087,7657.961,7622.693,1706891123,22449542791
sz399555,央视责任,5429.056,43.551,0.809,5385.505,5388.545,5429.205,5382.017,2501388939,25235824171
sz399556,央视生态,2952.745,0.335,0.011,2952.41,2968.061,2985.752,2946.254,1404384694,54121462597
sz399557,央视文化,1901.673,-8.031,-0.421,1909.704,1918.841,1919.918,1896.829,1481984333,17953677199
sz399602,中小成长,1244.697,-2.015,-0.162,1246.712,1256.754,1258.198,1241.721,2455206819,68267205936
sz399604,中小价值,1976.92,-0.254,-0.013,1977.174,1983.319,1988.043,1972.058,1250864977,17784130042
sz399606,创业板R,3392.542,-18.477,-0.542,3411.019,3471.985,3477.78,3386.79,1609979435,95691361812
sz399608,科技100,4035.603,-25.761,-0.634,4061.364,4112.686,4117.808,4027.488,2158366351,100677216063
sz399610,TMT50,8787.853,12.76,0.145,8775.093,8980.172,9019.765,8749.071,1096578439,65502166884
